Occupation,Industry,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
Chief executives,Management,1046,2041,763,2251,283,1836
Pharmacists,Healthcare Professional,206,1920,98,2117,108,1811
Lawyers,Legal,803,1886,503,1914,300,1717
Computer and information systems managers,Management,636,1728,466,1817,169,1563
Physicians and surgeons,Healthcare Professional,740,1824,457,1915,283,1533
"Engineers, all other",Engineering,393,1527,339,1537,54,1448
"Software developers, applications and systems software",Computational,1287,1682,1054,1751,232,1415
Management analysts,Business,529,1431,291,1519,237,1348
Operations research analysts,Computational,122,1441,59,1574,63,1325
Computer programmers,Computational,450,1438,357,1501,93,1302
Human resources managers,Management,254,1365,68,1495,186,1274
Marketing and sales managers,Management,948,1462,570,1603,378,1258
Computer systems analysts,Computational,499,1389,325,1462,173,1256
Education administrators,Management,778,1423,282,1585,496,1252
Market research analysts and marketing specialists,Business,203,1284,85,1411,118,1239
Producers and directors,Arts,120,1270,67,1340,53,1234
Purchasing managers,Management,193,1348,109,1404,84,1226
Physical therapists,Healthcare Professional,178,1265,56,1347,123,1215
"Managers, all other",Management,2803,1408,1717,1525,1085,1213
Financial analysts,Business,295,1426,168,1680,127,1171
"Physical scientists, all other",Science,189,1553,121,1770,68,1170
Medical and health services managers,Management,592,1210,154,1422,438,1156
"Computer occupations, all other",Computational,490,1227,374,1252,116,1145
Postsecondary teachers,Education,917,1258,516,1405,401,1144
Financial managers,Management,1124,1408,551,1732,573,1130
Editors,Arts,108,1148,58,1205,50,1125
Registered nurses,Healthcare Professional,2382,1116,278,1222,2104,1098
Medical scientists,Science,151,1250,68,1362,84,1082
Personal financial advisors,Business,407,1419,248,1738,159,1033
Web developers,Computational,151,1165,98,1233,53,1026
Compliance officers,Business,235,1198,126,1375,109,1025
Police and sheriff's patrol officers,Protective Service,655,1002,569,1001,86,1009
Secondary school teachers,Education,1048,1066,438,1149,610,1006
General and operations managers,Management,823,1260,621,1347,202,1002
Accountants and auditors,Business,1464,1132,618,1345,846,988
"Purchasing agents, except wholesale, retail, and farm products",Business,260,1009,136,1020,124,986
"Wholesale and retail buyers, except farm products",Business,142,926,73,886,69,985
Human resources workers,Business,592,1002,151,1158,441,984
Administrative services managers,Management,170,1191,96,1451,73,981
"Business operations specialists, all other",Business,186,1090,74,1461,112,969
Social and community service managers,Management,305,1022,105,1142,200,965
Elementary and middle school teachers,Education,2806,974,543,1077,2262,957
Clergy,Social Service,376,1002,316,1021,60,924
Designers,Arts,593,993,301,1099,291,918
"Sales representatives, wholesale and manufacturing",Sales,1138,1020,843,1066,295,917
Diagnostic related technologists and technicians,Healthcare Professional,253,964,76,1106,177,908
Computer support specialists,Computational,396,1079,291,1135,105,908
Credit counselors and loan officers,Business,313,997,146,1186,166,906
Counselors,Social Service,635,904,184,908,451,902
Lodging managers,Management,123,985,54,1171,68,902
First-line supervisors of non-retail sales workers,Sales,835,1028,556,1140,280,896
Social workers,Social Service,677,877,127,943,549,862
Postal service mail carriers,Office,302,954,187,1021,115,854
Postal service clerks,Office,127,927,76,974,51,833
"Engineering technicians, except drafters",Engineering,352,963,284,984,68,827
"Claims adjusters, appraisers, examiners, and investigators",Business,317,963,141,1134,176,824
"Property, real estate, and community association managers",Management,401,914,171,1137,230,823
Other teachers and instructors,Education,378,896,179,1024,199,817
Clinical laboratory technologists and technicians,Healthcare Professional,270,901,69,1089,201,796
First-line supervisors of office and administrative support workers,Office,1297,812,434,878,863,781
"Miscellaneous life, physical, and social science technicians",Science,157,846,79,1001,78,780
"Securities, commodities, and financial services sales agents",Sales,211,1155,146,1461,65,767
"Transportation, storage, and distribution managers",Management,276,966,224,1006,52,749
Real estate brokers and sales agents,Sales,463,837,197,1052,266,735
"Production, planning, and expediting clerks",Office,256,838,116,978,141,732
Advertising sales agents,Sales,161,925,78,1155,83,729
"Sales and related workers, all other",Sales,158,916,89,1088,70,727
"Office and administrative support workers, all other",Office,391,745,93,852,298,718
Insurance sales agents,Sales,427,815,194,1028,232,717
"Sales representatives, services, all other",Sales,406,966,268,1147,139,699
"Bookkeeping, accounting, and auditing clerks",Office,769,692,87,690,682,692
"Bailiffs, correctional officers, and jailers",Protective Service,453,754,341,779,112,686
Secretaries and administrative assistants,Office,2223,687,124,786,2099,683
Food service managers,Management,763,742,389,820,374,680
First-line supervisors of gaming workers,Service,117,769,65,900,52,680
Insurance claims and policy processing clerks,Office,259,689,56,762,203,675
Dispatchers,Office,250,698,109,759,141,655
Bill and account collectors,Office,152,657,54,674,98,648
Data entry keyers,Office,223,619,55,589,169,638
Health practitioner support technologists and technicians,Healthcare Professional,487,636,99,652,389,633
Driver/sales workers and truck drivers,Transportation,2687,747,2582,751,105,632
